infra_id,phase_reconstruction,duree_totale,cout_total
P006950,3,24.9328660182,4487.9158832759995
P008033,3,152.684134598588,27483.14422774584
P004271,3,33.0569133380554,5950.244400849972
P004269,3,16.06491474206786,4016.228685516965
P004261,3,32.3589534303276,6067.303768186425
P007610,3,44.344539254019004,7982.017065723421
P005100,3,12.51951350613308,3129.87837653327
P000732,3,21.5742772172186,5393.56930430465
P008001,3,19.60362686493784,4900.90671623446
P000719,3,21.396318701628,5349.079675407001
P008005,3,16.80490373868074,4201.225934670185
P000723,3,26.3198844678838,6579.97111697095
P008008,3,68.2308344822758,17057.70862056895
P008022,3,69.6745145306364,17418.6286326591
P007595,3,40.032854765126,7506.160268461124
P007113,3,24.3870174167262,6096.754354181549
P007984,3,60.1151958985174,15028.79897462935
P007823,3,24.580565659166,6145.141414791499
P006709,3,26.8424272295558,6710.60680738895
P008025,3,21.534661032935,5383.665258233749
P003849,3,22.25872706475895,4006.570871656611
P008029,3,128.9336919071168,24175.067232584403
P003934,3,13.20926962981146,3302.317407452865
P007552,3,41.6612468644341,7499.024435598138
P005100,4,12.51951350613308,3129.87837653327
P000732,4,21.5742772172186,5393.56930430465
P008001,4,19.60362686493784,4900.90671623446
P000719,4,21.396318701628,5349.079675407001
P008003,4,33.9895798122914,8497.394953072851
P008004,4,21.339528418028003,3841.11511524504
P000494,4,9.68014026457464,2420.0350661436596
P008010,4,37.8782357367241,6818.0824326103375
P008012,4,5.60865150972822,1402.162877432055
P008011,4,40.3225603280688,7560.480061512901
P007731,4,18.99844532270295,3419.7201580865312
P006709,4,26.8424272295558,6710.60680738895
P008025,4,21.534661032935,5383.665258233749
P003849,4,22.25872706475895,4006.570871656611
P008029,4,128.9336919071168,24175.067232584403
P008030,4,40.5253668773164,7598.506289496825
P007715,4,47.8308152711728,8968.2778633449
P005100,4,12.51951350613308,3129.87837653327
P000732,4,21.5742772172186,5393.56930430465
P008001,4,19.60362686493784,4900.90671623446
P000719,4,21.396318701628,5349.079675407001
P008003,4,33.9895798122914,8497.394953072851
P008004,4,21.339528418028003,3841.11511524504
P000494,4,9.68014026457464,2420.0350661436596
P008010,4,37.8782357367241,6818.0824326103375
P008012,4,5.60865150972822,1402.162877432055
P008013,4,41.4379819423978,7458.836749631604
P000476,4,20.4242247894414,3676.360462099452
P000717,4,10.12943634608384,2532.3590865209603
P007618,4,7.97025572337204,1992.56393084301
P006950,4,24.9328660182,4487.9158832759995
P008033,4,152.684134598588,27483.14422774584
P004282,4,12.30296464895322,3075.7411622383047
P004284,4,10.89251289347038,2723.128223367595
P007564,4,14.26337787438018,3565.844468595045
P006950,4,24.9328660182,4487.9158832759995
P008033,4,152.684134598588,27483.14422774584
P004271,4,33.0569133380554,5950.244400849972
P004269,4,16.06491474206786,4016.228685516965
P007507,4,41.225899682606,7420.66194286908
P005100,4,12.51951350613308,3129.87837653327
P000732,4,21.5742772172186,5393.56930430465
P008001,4,19.60362686493784,4900.90671623446
P000719,4,21.396318701628,5349.079675407001
P005193,4,72.455630514205,13042.0134925569
P007992,4,51.9930286498625,9358.74515697525
P007648,4,6.79593567374408,1698.98391843602
P005100,4,12.51951350613308,3129.87837653327
P000732,4,21.5742772172186,5393.56930430465
P008001,4,19.60362686493784,4900.90671623446
P000719,4,21.396318701628,5349.079675407001
P008005,4,16.80490373868074,4201.225934670185
P000723,4,26.3198844678838,6579.97111697095
P008008,4,68.2308344822758,17057.70862056895
P008021,4,29.8234237716442,7455.85594291105
P007785,4,16.27351459513592,4068.37864878398
P005000,4,10.87654320028952,2039.351850054285
P008027,4,102.27894716882,18410.2104903876
P007530,4,25.4718608684544,6367.9652171135995
P006950,4,24.9328660182,4487.9158832759995
P008033,4,152.684134598588,27483.14422774584
P004282,4,12.30296464895322,3075.7411622383047
P007528,4,21.519345076966,5379.8362692415
P006950,4,24.9328660182,4487.9158832759995
P008033,4,152.684134598588,27483.14422774584
P004271,4,33.0569133380554,5950.244400849972
P004269,4,16.06491474206786,4016.228685516965
P004261,4,32.3589534303276,6067.303768186425
P004257,4,24.45501859189888,4585.31598598104
P004251,4,11.67022270278922,2917.555675697305
P007766,4,43.8590215479892,8223.566540247975
P005100,4,12.51951350613308,3129.87837653327
P000732,4,21.5742772172186,5393.56930430465
P008001,4,19.60362686493784,4900.90671623446
P000719,4,21.396318701628,5349.079675407001
P008005,4,16.80490373868074,4201.225934670185
P008009,4,50.4118214651852,12602.955366296299
P008015,4,173.0541889340335,31149.754008126027
P008023,4,45.1186194286496,8459.7411428718
P007562,4,53.753980651726,9675.71651731068
P005100,4,12.51951350613308,3129.87837653327
P000732,4,21.5742772172186,5393.56930430465
P008001,4,19.60362686493784,4900.90671623446
P000719,4,21.396318701628,5349.079675407001
P008005,4,16.80490373868074,4201.225934670185
P008009,4,50.4118214651852,12602.955366296299
P008015,4,173.0541889340335,31149.754008126027
P008024,4,91.550322977202,16479.05813589636
P007566,4,33.03636388276025,5946.545498896845
P006950,4,24.9328660182,4487.9158832759995
P008033,4,152.684134598588,27483.14422774584
P004271,4,33.0569133380554,5950.244400849972
P007529,4,24.9539673676536,6238.4918419134
P006950,4,24.9328660182,4487.9158832759995
P008033,4,152.684134598588,27483.14422774584
P004271,4,33.0569133380554,5950.244400849972
P004269,4,16.06491474206786,4016.228685516965
P004261,4,32.3589534303276,6067.303768186425
P004257,4,24.45501859189888,4585.31598598104
P007768,4,18.65912660123056,4664.78165030764
